,Description,Source,Rent
5169,Building payment,synthetic,0
5170,Spot payment,synthetic,1
5171,Subscription 5th monthly,synthetic,0
5172,Unit Management,synthetic,0
5173,Monthly payment to John,synthetic,0
5174,Periodic 30th payment,synthetic,0
5175,Recurring transfer to Smith,synthetic,0
5176,Digs payment,synthetic,0
5177,Housing allocation payment,synthetic,1
5178,Residential payment Monthly anniversary,synthetic,1
5179,Flat fee,synthetic,0
5180,Housing Associates,synthetic,0
5181,Lease charge,synthetic,0
5182,Spot payment,synthetic,1
5183,Besides rent - insurance,synthetic,0
5184,CHARGE - AUTO,synthetic,0
5185,Utility fee incl. services,synthetic,0
5186,Servise payment,synthetic,0
5187,Apart from rent - maintenance,synthetic,0
5188,RENT - APT 5B,synthetic,1
5189,Rent(payment),synthetic,1
5190,Debit to Anderson,synthetic,0
5191,Place I stay remittance,synthetic,1
5192,Service fee + tax,synthetic,0
5193,Monthly on 15th,synthetic,1
5194,Lodging remittance,synthetic,1
5195,Habitation remittance with utilities,synthetic,1
5196,Wire to Thompson (Unit 19C),synthetic,1
5197,Monthly payment to John,synthetic,1
5198,Accommodation remittance including tax,synthetic,1
5199,Residential payment 15th auto,synthetic,1
5200,Unit Management,synthetic,0
5201,Rent-paymnt,synthetic,1
5202,Non-rent housing expense,synthetic,0
5203,Unit disbursement,synthetic,0
5204,Semi-monthly residence,synthetic,0
5205,Building Management,synthetic,1
5206,RENT - DO NOT DELETE,synthetic,1
5207,FEE - AUTO,synthetic,0
5208,Rent(payment),synthetic,1
5209,Rent payment ,synthetic,1
5210,Habitation remittance with utilities,synthetic,1
5211,First of month payment,synthetic,0
5212,Building disbursement for residential unit,synthetic,1
5213,Complex payment,synthetic,0
5214,Debit to Anderson,synthetic,0
5215,Recurring habitation expenditure,synthetic,1
5216,Complex Services (Unit 41C),synthetic,1
5217,Rent with included services,synthetic,1
5218,Residential occupancy fee,synthetic,1
5219,Subscripton payment,synthetic,0
5220,Property remittance,synthetic,0
5221,Remittance to Moore,synthetic,0
5222,Housing Associates,synthetic,1
5223,Servise payment,synthetic,0
5224,Lease fee for residential unit,synthetic,1
5225,Separate from rent - deposit,synthetic,0
5226,Periodic 30th payment,synthetic,0
5227,Periodic domicile remittance,synthetic,1
5228,Property payment,synthetic,0
5229,ACH to Johnson LLC,synthetic,0
5230,RENT - APT 5B,synthetic,1
5231,Lodgings remittance,synthetic,1
5232,Maintenence payment,synthetic,0
5233,Monthly on 15th,synthetic,0
5234,Separate from rent - deposit,synthetic,0
5235,Rent payment ,synthetic,1
5236,Residential payment First Monday,synthetic,1
5237,Building fee,synthetic,0
5238,Strata payment,synthetic,0
5239,Complex fee for residential unit,synthetic,1
5240,Unit remittance for residential unit,synthetic,1
5241,Remittance to Moore,synthetic,1
5242,Residential payment Every 30 days,synthetic,1
5243,Unit payment including maintenance,synthetic,1
5244,Spot payment,synthetic,1
5245,Strata payment,synthetic,0
5246,Subscription 20th periodic,synthetic,0
5247,Residential payment Monthly anniversary,synthetic,1
5248,SERVICE - AUTO,synthetic,0
5249,Residence fee including amenities,synthetic,1
5250,Maintenence payment,synthetic,0
5251,Residential payment Semi-monthly,synthetic,1
5252,RENT PAYMENT (MONTHLY),synthetic,1
5253,Payment on 1st of month,synthetic,0
5254,Residential payment 15th auto,synthetic,1
5255,Tenancy payment,synthetic,1
5256,Unit letting,synthetic,1
5257,Unit payment for residential unit,synthetic,1
5258,Unit payment,synthetic,0
5259,Building disbursement for residential unit,synthetic,1
5260,Residential payment Monthly anniversary,synthetic,1
5261,Maintenence payment,synthetic,0
5262,Letting fee,synthetic,1
5263,Lodging remittance,synthetic,1
5264,Accommodation remittance including tax,synthetic,1
5265,Monthly housing and utilities bundle,synthetic,1
5266,ACH to Johnson LLC,synthetic,1
5267,Unit fee,synthetic,0
5268,Semi-monthly residence,synthetic,0
5269,Rent payment (apartment),synthetic,1
5270,Service 1st of month,synthetic,0
5271,Rent payment ,synthetic,1
5272,Additional to rent - fee,synthetic,0
5273,Rant fee,synthetic,1
5274,Additional to rent - fee,synthetic,0
5275,Service First Monday,synthetic,0
5276,NOT rent - utilities,synthetic,0
5277,Remittance to Moore,synthetic,0
5278,Semi-monthly residence,synthetic,0
5279,Membership 10th recurring,synthetic,0
5280,Abode disbursement,synthetic,1
5281,Besides rent - insurance,synthetic,0
5282,My house monthly,synthetic,1
5283,Maintenence payment,synthetic,0
5284,Property payment for residential unit,synthetic,1
5285,Utility fee + tax,synthetic,0
5286,Abode payment plus insurance,synthetic,1
5287,Dwelling remittance,synthetic,1
5288,Subscripton payment,synthetic,0
5289,Housing Associates,synthetic,0
5290,Unit charge,synthetic,0
5291,Abode payment plus insurance,synthetic,1
5292,Rent payment ,synthetic,1
5293,Real estate management fee,synthetic,1
5294,Lease charge,synthetic,0
5295,Habitation remittance with utilities,synthetic,1
5296,Complex Services,synthetic,1
5297,Remittance to Moore,synthetic,0
5298,R3nt fee,synthetic,1
5299,R3nt fee,synthetic,1
5300,Complex charge,synthetic,0
5301,RENT-RECURRING,synthetic,1
5302,Apartment payment + parking,synthetic,1
5303,Subscription 10th recurring,synthetic,0
5304,SERVICE - RECURRING,synthetic,0
5305,Residential payment 15th auto,synthetic,1
5306,Rent payment (primary residence),synthetic,1
5307,Service fee + tax,synthetic,0
5308,Check #1234 for monthly,synthetic,0
5309,Service fee + insurance,synthetic,0
5310,First of month payment,synthetic,0
5311,Utilitie payment,synthetic,0
5312,Payment on 1st of month,synthetic,0
5313,Monthly on 15th,synthetic,0
5314,Complex payment for residential unit,synthetic,1
5315,Rent payment (primary residence),synthetic,1
5316,Unit fee,synthetic,0
5317,Subscripton payment,synthetic,0
5318,Maintenence payment,synthetic,0
5319,Service Quarterly,synthetic,0
5320,Unit payment,synthetic,0
5321,Rent payment ,synthetic,1
5322,Residential payment Semi-monthly,synthetic,1
5323,Monthly premises fee,synthetic,1
5324,Maintenance fee + tax,synthetic,0
5325,SERVICE - MONTHLY,synthetic,0
5326,Monthly payment to John,synthetic,0
5327,RENT-RECURRING,synthetic,1
5328,Maintenence payment,synthetic,0
5329,CHARGE - AUTO,synthetic,0
5330,Apart from rent - maintenance,synthetic,0
5331,Rent payment ,synthetic,1
5332,Pad payment,synthetic,1
5333,Digs payment,synthetic,0
5334,Property remittance for residential unit,synthetic,1
5335,Lease payment,synthetic,0
5336,123 Main St monthly,synthetic,1
5337,Building fee for residential unit,synthetic,1
5338,Letting fee,synthetic,0
5339,Rent payment ,synthetic,1
5340,Rent/payment,synthetic,1
5341,Subscription Monthly anniversary,synthetic,0
5342,Complex fee,synthetic,0
5343,Apart from rent - maintenance,synthetic,0
5344,Crib fee,synthetic,1
5345,SERVICE - AUTO,synthetic,0
5346,Accommodation disbursement,synthetic,1
5347,Place remittance,synthetic,1
5348,Apartment 12C fee,synthetic,1
5349,Servise payment,synthetic,0
5350,HOA fee + tax,synthetic,0
5351,Lodgings remittance,synthetic,0
5352,Domicile Solutions,synthetic,0
5353,Property payment for residential unit,synthetic,1
5354,Utilitie payment,synthetic,0
5355,Complex Services,synthetic,1
5356,Separate from rent - deposit,synthetic,0
5357,Quarterly dwelling,synthetic,1
5358,Residential Services,synthetic,1
5359,FEE - RECURRING,synthetic,0
5360,Complex Services (Unit 22C),synthetic,1
5361,Residential payment 10th recurring,synthetic,1
5362,Recurring transfer to Smith,synthetic,0
5363,Residence fee including amenities,synthetic,1
5364,Flat fee,synthetic,0
5365,Invoice #APT2024-001,synthetic,1
5366,Residence fee including amenities,synthetic,1
5367,Quarterly dwelling,synthetic,0
5368,Recurring 1st week,synthetic,0
5369,Additional to rent - fee,synthetic,0
5370,End of month remittance,synthetic,1
5371,Unit Management,synthetic,0
5372,Accommodation remittance including tax,synthetic,1
5373,Utilitie payment,synthetic,0
5374,Additional to rent - fee,synthetic,0
5375,Subscription 10th recurring,synthetic,0
5376,Flat fee,synthetic,0
5377,Flat fee,synthetic,0
5378,Rent payment (apartment),synthetic,1
5379,Rent (missed auto),synthetic,1
5380,Rent payment (primary residence),synthetic,1
5381,Remittance to Moore,synthetic,0
5382,RENT_INVOICE_001,synthetic,1
5383,Service fee + tax,synthetic,0
5384,Service Quarterly,synthetic,0
5385,Lease payment for residential unit,synthetic,1
5386,CHARGE - AUTO,synthetic,0
5387,Residential payment 15th auto,synthetic,1
5388,FEE - MONTHLY,synthetic,0
5389,Service 10th recurring,synthetic,0
5390,Property fee for residential unit,synthetic,1
5391,Other than rent - tax,synthetic,0
5392,Lease fee,synthetic,0
5393,Residential Services,synthetic,0
5394,Premises Services,synthetic,0
5395,Transfer to Miller (Unit 8A),synthetic,1
5396,Rent payment ,synthetic,1
5397,NOT rent - utilities,synthetic,0
5398,Rentt disbursement,synthetic,1
5399,First of month payment,synthetic,0
5400,Maintenence payment,synthetic,0
5401,RENT PAYMENT (MONTHLY),synthetic,1
5402,Building Management,synthetic,0
5403,Service fee + insurance,synthetic,0
5404,RENT|AUTO,synthetic,1
5405,HOA fee + tax,synthetic,0
5406,Periodic domicile remittance,synthetic,1
5407,Unit payment including maintenance,synthetic,1
5408,ACH to Johnson LLC,synthetic,0
5409,Zelle to Davis,synthetic,0
5410,CHARGE - RECURRING,synthetic,0
5411,Recurring 1st week (Unit 22A),synthetic,1
5412,SERVICE - MONTHLY,synthetic,0
5413,Bi-weekly housing,synthetic,0
5414,Maintenance fee + tax,synthetic,0
5415,Residential payment 5th monthly,synthetic,1
5416,Apart from rent - maintenance,synthetic,0
5417,Additional to rent - fee,synthetic,0
5418,FEE - AUTO,synthetic,0
5419,Building payment for residential unit,synthetic,1
5420,Separate from rent - deposit,synthetic,0
5421,Utility fee incl. services,synthetic,0
5422,Property fee,synthetic,0
5423,Subscripton payment,synthetic,0
5424,Monthly housing and utilities bundle,synthetic,1
5425,500 Oak Ave payment,synthetic,1
5426,Monthly housing and utilities bundle,synthetic,1
5427,Mid-month transfer,synthetic,1
5428,Monthly payment to John (Unit 29A),synthetic,1
5429,Independent of rent - repair,synthetic,0
5430,SERVICE - AUTO,synthetic,0
5431,Transfer to Miller,synthetic,0
5432,Membership Bi-weekly,synthetic,0
5433,Strata payment,synthetic,1
5434,Membership 10th recurring,synthetic,0
5435,Membership Monthly anniversary,synthetic,0
5436,Premises maintenance remittance,synthetic,1
5437,ACH to Johnson LLC,synthetic,0
5438,Flat fee,synthetic,0
5439,Lease fee for residential unit,synthetic,1
5440,Monthly housing and utilities bundle,synthetic,1
5441,Pad payment,synthetic,1
5442,Monthly payment to John,synthetic,1
5443,Residence fee including amenities,synthetic,1
5444,Unit payment,synthetic,0
5445,Lease payment for residential unit,synthetic,1
5446,Spot payment,synthetic,1
5447,Service Last day,synthetic,0
5448,Residential facility fee,synthetic,1
5449,Rent payment (primary residence),synthetic,1
5450,Recurring 1st week,synthetic,1
5451,Property fee for residential unit,synthetic,1
5452,Building fee,synthetic,0
5453,RENT|AUTO,synthetic,1
5454,Apart from rent - maintenance,synthetic,0
5455,RENT - APT 5B,synthetic,1
5456,Real Estate Solutions,synthetic,0
5457,Rent payment (primary residence),synthetic,1
5458,Rent-paymnt,synthetic,1
5459,Residential payment 20th periodic,synthetic,1
5460,Maintenance fee + insurance,synthetic,0
5461,Membership 20th periodic,synthetic,0
5462,Accommodation remittance including tax,synthetic,1
5463,Utilitie payment,synthetic,0
5464,RENT: UNIT 304,synthetic,1
5465,Subscription Quarterly,synthetic,0
5466,Strata payment,synthetic,1
5467,Unit fee,synthetic,0
5468,Residential payment 20th periodic,synthetic,1
5469,Digs payment,synthetic,1
5470,Rent-paymnt,synthetic,1
5471,Service Quarterly,synthetic,0
5472,Residential payment Quarterly,synthetic,1
5473,Subscripton payment,synthetic,0
5474,Servise payment,synthetic,0
5475,Membership First Monday,synthetic,0
5476,Residential payment 15th auto,synthetic,1
5477,Servise payment,synthetic,0
5478,Premises Services (Unit 47A),synthetic,1
5479,SERVICE - RECURRING,synthetic,0
5480,Rnet payment,synthetic,1
5481,Unit letting,synthetic,1
5482,Residential payment Semi-monthly,synthetic,1
5483,Unit letting,synthetic,0
5484,Lodgings remittance,synthetic,0
5485,Building Management,synthetic,0
5486,Periodic domicile remittance,synthetic,1
5487,Besides rent - insurance,synthetic,0
5488,Recurring transfer to Smith (Unit 11C),synthetic,1
5489,R3nt fee,synthetic,1
5490,Crib fee,synthetic,0
5491,Abode disbursement,synthetic,1
5492,Mid-month transfer,synthetic,0
5493,Monthly payment to John,synthetic,0
5494,RENT_INVOICE_001,synthetic,1
5495,NOT rent - utilities,synthetic,0
5496,Rentt disbursement,synthetic,1
5497,Where I live payment,synthetic,1
5498,RENT PAYMENT (MONTHLY),synthetic,1
5499,Maintenance fee + insurance,synthetic,0
5500,Complex fee for residential unit,synthetic,1
5501,Payment to Wilson,synthetic,1
5502,Rent payment ,synthetic,1
5503,Monthly housing and utilities bundle,synthetic,1
5504,Service Quarterly,synthetic,0
5505,End of month remittance,synthetic,0
5506,Monthly premises fee,synthetic,1
5507,Crib fee,synthetic,1
5508,Periodic 30th payment,synthetic,0
5509,Rent-paymnt,synthetic,1
5510,RENT #2024-001,synthetic,1
5511,Periodic domicile remittance,synthetic,1
5512,Remittance to Moore (Unit 49C),synthetic,1
5513,Pad payment,synthetic,0
5514,Monthly payment to John,synthetic,1
5515,Letting fee,synthetic,1
5516,Residential payment Bi-weekly,synthetic,1
5517,Digs payment,synthetic,0
5518,Payment to Wilson,synthetic,1
5519,Other than rent - tax,synthetic,0
5520,Lease fee,synthetic,0
5521,Unit payment,synthetic,0
5522,Debit to Anderson,synthetic,0
5523,Strata payment,synthetic,0
5524,Complex charge,synthetic,0
5525,Service 25th standing,synthetic,0
5526,Residence fee including amenities,synthetic,1
5527,Building payment for residential unit,synthetic,1
5528,SERVICE - AUTO,synthetic,0
5529,Ren tpayment,synthetic,1
5530,Strata payment,synthetic,0
5531,UTILITY - MONTHLY,synthetic,0
5532,Membership 20th periodic,synthetic,0
5533,Premises Services,synthetic,0
5534,CHARGE - RECURRING,synthetic,0
5535,Utilitie payment,synthetic,0
5536,Membership Last day,synthetic,0
5537,RENT~MONTHLY,synthetic,1
5538,Rent payment (apartment),synthetic,1
5539,Non-rent housing expense,synthetic,0
5540,Lodgings remittance,synthetic,0
5541,Bi-weekly housing,synthetic,1
5542,Lease fee for residential unit,synthetic,1
5543,RENT PAYMENT (MONTHLY),synthetic,1
5544,Premises Services,synthetic,0
5545,Maintenence payment,synthetic,0
5546,Recurring 1st week,synthetic,0
5547,Property fee for residential unit,synthetic,1
5548,FEE - AUTO,synthetic,0
5549,Ref: RES-UNIT-5B,synthetic,1
5550,Rent (missed auto),synthetic,1
5551,Strata payment,synthetic,0
5552,Besides rent - insurance,synthetic,0
5553,Invoice: RESIDENCE,synthetic,1
5554,Maintenence payment,synthetic,0
5555,Rent payment ,synthetic,1
5556,Accommodation remittance including tax,synthetic,1
5557,Digs payment,synthetic,0
5558,Periodic domicile remittance,synthetic,1
5559,Abode disbursement,synthetic,1
5560,NOT rent - utilities,synthetic,0
5561,Besides rent - insurance,synthetic,0
5562,Pad payment,synthetic,0
5563,Residential payment Last day,synthetic,1
5564,Real Estate Solutions,synthetic,0
5565,123 Main St monthly,synthetic,1
5566,Rent payment (primary residence),synthetic,1
5567,Residential facility fee,synthetic,1
5568,Rent ;payment,synthetic,1
5569,Monthly payment to John,synthetic,0
5570,Rent..payment,synthetic,1
5571,Monthly payment to John,synthetic,0
5572,Residential payment 5th monthly,synthetic,1
5573,Complex Services,synthetic,1
5574,SERVICE - AUTO,synthetic,0
5575,Lease payment for residential unit,synthetic,1
5576,Check #1234 for monthly,synthetic,0
5577,Lease fee,synthetic,0
5578,Strata payment,synthetic,0
5579,Property remittance for residential unit,synthetic,1
5580,Residential Services (Unit 25C),synthetic,1
5581,Apart from rent - maintenance,synthetic,0
5582,RENT #2024-001,synthetic,1
5583,Bi-weekly housing,synthetic,0
5584,Remittance: DWELLING,synthetic,1
5585,Property fee,synthetic,0
5586,Debit to Anderson,synthetic,0
5587,Letting fee,synthetic,1
5588,Rant fee,synthetic,1
5589,Other than rent - tax,synthetic,0
5590,RENT|AUTO,synthetic,1
5591,Rent-pay ment,synthetic,1
5592,RENT|AUTO,synthetic,1
5593,Periodic 30th payment (Unit 3C),synthetic,1
5594,Residential payment Bi-weekly,synthetic,1
5595,Rant fee,synthetic,1
5596,Debit to Anderson,synthetic,0
5597,Check #1234 for monthly,synthetic,0
5598,Rnet payment,synthetic,1
5599,Subscription Every 30 days,synthetic,0
5600,ACH to Johnson LLC,synthetic,1
5601,Utilitie payment,synthetic,0
5602,Apartment 12C fee,synthetic,1
5603,HOA fee + insurance,synthetic,0
5604,Servise payment,synthetic,0
5605,Subscription Last day,synthetic,0
5606,Additional to rent - fee,synthetic,0
5607,Transfer to Miller,synthetic,0
5608,Maintenance fee + tax,synthetic,0
5609,Residential Services,synthetic,1
5610,Service Last day,synthetic,0
5611,End of month remittance,synthetic,0
5612,First of month payment,synthetic,1
5613,Residential payment Monthly anniversary,synthetic,1
5614,Utility fee + insurance,synthetic,0
5615,Accommodation remittance including tax,synthetic,1
5616,My apartment payment,synthetic,1
5617,Residential payment Every 30 days,synthetic,1
5618,UTILITY - RECURRING,synthetic,0
5619,Service fee + tax,synthetic,0
5620,First of month payment,synthetic,1
5621,Maintenence payment,synthetic,0
5622,Zelle to Davis,synthetic,0
5623,Lease fee,synthetic,0
5624,Additional to rent - fee,synthetic,0
5625,Quarterly dwelling,synthetic,0
5626,Lease charge for residential unit,synthetic,1
5627,FEE - MONTHLY,synthetic,0
5628,Membership Quarterly,synthetic,0
5629,Utilitie payment,synthetic,0
5630,Unit remittance for residential unit,synthetic,1
5631,Residential Services,synthetic,0
5632,Non-rent housing expense,synthetic,0
5633,Rant fee,synthetic,1
5634,Unit remittance,synthetic,0
5635,Residential payment 25th standing,synthetic,1
5636,Rent payment (primary residence),synthetic,1
5637,Premises Services,synthetic,0
5638,Rent payment (apartment),synthetic,1
5639,Rant fee,synthetic,1
5640,Wire to Thompson,synthetic,0
5641,RENT - APT 5B,synthetic,1
5642,Letting fee,synthetic,1
5643,Wire to Thompson,synthetic,1
5644,Maintenance fee incl. services,synthetic,0
5645,Payment ref: HOUSING-,synthetic,1
5646,Transfer to Miller,synthetic,1
5647,Other than rent - tax,synthetic,0
5648,Monthly on 15th,synthetic,0
5649,Independent of rent - repair,synthetic,0
5650,Apartment 12C fee,synthetic,1
5651,Subscription Semi-monthly,synthetic,0
5652,Servise payment,synthetic,0
5653,Real Estate Solutions,synthetic,1
5654,Spot payment,synthetic,0
5655,Utilitie payment,synthetic,0
5656,First of month payment,synthetic,0
5657,Building payment for residential unit,synthetic,1
5658,Lease payment for residential unit,synthetic,1
5659,RENT - APT 5B,synthetic,1
5660,CHARGE - MONTHLY,synthetic,0
5661,Unit charge for residential unit,synthetic,1
5662,UTILITY - RECURRING,synthetic,0
5663,Rent ;payment,synthetic,1
5664,FEE - AUTO,synthetic,0
5665,Lease charge for residential unit,synthetic,1
5666,Membership Every 30 days,synthetic,0
5667,Servise payment,synthetic,0
5668,Residential payment Last day,synthetic,1
5669,Transfer to Miller,synthetic,0
5670,Rent payment ,synthetic,1
5671,Maintenence payment,synthetic,0
5672,Rent payment (primary residence),synthetic,1
5673,Unit remittance for residential unit,synthetic,1
5674,End of month remittance,synthetic,1
5675,Residential payment Monthly anniversary,synthetic,1
5676,Utility fee + insurance,synthetic,0
5677,Excluding rent - HOA,synthetic,0
5678,Additional to rent - fee,synthetic,0
5679,Residential payment 5th monthly,synthetic,1
5680,Rent payment (primary residence),synthetic,1
5681,Monthly payment to John,synthetic,0
5682,Place remittance,synthetic,0
5683,Place remittance,synthetic,1
5684,Servise payment,synthetic,0
5685,Besides rent - insurance,synthetic,0
5686,Rent payment ,synthetic,1
5687,Facility Solutions,synthetic,0
5688,Residential payment 1st of month,synthetic,1
5689,Residential payment 1st of month,synthetic,1
5690,Rent payment (apartment),synthetic,1
5691,Subscription First Monday,synthetic,0
5692,Unit Management,synthetic,0
5693,Rent payment ,synthetic,1
5694,Pad payment,synthetic,0
5695,For 303 Parkview,synthetic,1
5696,Membership 15th auto,synthetic,0
5697,Payment on 1st of month,synthetic,0
5698,Unit charge,synthetic,0
5699,Complex charge,synthetic,0
5700,Unit payment for residential unit,synthetic,1
5701,Property payment,synthetic,0
5702,Subscription 20th periodic,synthetic,0
5703,Transfer to Miller (Unit 4B),synthetic,1
5704,Membership 25th standing,synthetic,0
5705,Complex management remittance,synthetic,1
5706,Distinct from rent - service,synthetic,0
5707,Premises Services,synthetic,0
5708,RENT-RECURRING,synthetic,1
5709,FEE - MONTHLY,synthetic,0
5710,Rent(payment),synthetic,1
5711,Ref: RES-UNIT-5B,synthetic,1
5712,Complex Services,synthetic,0
5713,Unit charge,synthetic,0
5714,Unit Management,synthetic,0
5715,Complex Services,synthetic,0
5716,Utility fee + insurance,synthetic,0
5717,Besides rent - insurance,synthetic,0
5718,Housing allocation payment,synthetic,1
5719,Rent-pay ment,synthetic,1
5720,SERVICE - RECURRING,synthetic,0
5721,First of month payment,synthetic,1
5722,Semi-monthly residence,synthetic,0
5723,Residential Services,synthetic,0
5724,Subscription Last day,synthetic,0
5725,Subscription First Monday,synthetic,0
5726,Maintenence payment,synthetic,0
5727,Subscription 10th recurring,synthetic,0
5728,Habitation remittance with utilities,synthetic,1
5729,Place remittance,synthetic,0
5730,Check #1234 for monthly (Unit 19A),synthetic,1
5731,Housing Associates,synthetic,0
5732,Property payment for residential unit,synthetic,1
5733,Subscripton payment,synthetic,0
5734,Unit remittance,synthetic,0
5735,Building fee for residential unit,synthetic,1
5736,Payment on 1st of month,synthetic,1
5737,Building disbursement for residential unit,synthetic,1
5738,Building fee for residential unit,synthetic,1
5739,Utilitie payment,synthetic,0
5740,Rent ;payment,synthetic,1
5741,Property Services LLC,synthetic,0
5742,123 Main St monthly,synthetic,1
5743,Residential payment Bi-weekly,synthetic,1
5744,Unit letting,synthetic,1
5745,Building disbursement for residential unit,synthetic,1
5746,Debit to Anderson,synthetic,0
5747,Unit letting,synthetic,0
5748,Maintenence payment,synthetic,0
5749,Besides rent - insurance,synthetic,0
5750,Place I stay remittance,synthetic,1
5751,Separate from rent - deposit,synthetic,0
5752,Other than rent - tax,synthetic,0
5753,Residential payment Last day,synthetic,1
5754,Residential payment Calendar month,synthetic,1
5755,Domicile Solutions,synthetic,0
5756,Building disbursement for residential unit,synthetic,1
5757,Subscripton payment,synthetic,0
5758,Wire to Thompson,synthetic,0
5759,Building disbursement,synthetic,0
5760,Payment to Wilson,synthetic,1
5761,Membership Calendar month,synthetic,0
5762,Rent payment (apartment),synthetic,1
5763,Periodic domicile remittance,synthetic,1
5764,Monthly premises fee,synthetic,1
5765,Rent payment ,synthetic,1
5766,Rent payment (apartment),synthetic,1
5767,Utilitie payment,synthetic,0
5768,Maintenence payment,synthetic,0
5769,Utility fee + tax,synthetic,0
5770,Rent payment (primary residence),synthetic,1
5771,Service fee + tax,synthetic,0
5772,Rent payment (apartment),synthetic,1
5773,Rent with included services,synthetic,1
5774,Complex management remittance,synthetic,1
5775,Rent payment (apartment),synthetic,1
5776,Real Estate Solutions,synthetic,0
5777,Subscription 25th standing,synthetic,0
5778,Unit payment including maintenance,synthetic,1
5779,Building fee for residential unit,synthetic,1
5780,Lease fee for residential unit,synthetic,1
5781,Rent ;payment,synthetic,1
5782,Facility management disbursement,synthetic,1
5783,Lease fee for residential unit,synthetic,1
5784,Utilitie payment,synthetic,0
5785,CHARGE - AUTO,synthetic,0
5786,Place remittance,synthetic,1
5787,Building Management,synthetic,1
5788,Service Monthly anniversary,synthetic,0
5789,Property fee for residential unit,synthetic,1
5790,Payment on 1st of month,synthetic,1
5791,Strata payment,synthetic,0
5792,Flat fee,synthetic,0
5793,Maintenance fee + insurance,synthetic,0
5794,Dwelling disbursement plus fees,synthetic,1
5795,Place remittance,synthetic,1
5796,Rent payment (apartment),synthetic,1
5797,Lease charge,synthetic,0
5798,Periodic 30th payment,synthetic,0
5799,RENT~MONTHLY,synthetic,1
5800,Rent payment ,synthetic,1
5801,Transfer to Miller (Unit 49B),synthetic,1
5802,Complex management remittance,synthetic,1
5803,Unit payment for residential unit,synthetic,1
5804,Tenancy payment,synthetic,1
5805,Housing Associates,synthetic,0
5806,Invoice: RESIDENCE,synthetic,1
5807,Other than rent - tax,synthetic,0
5808,Pad payment,synthetic,0
5809,Property remittance for residential unit,synthetic,1
5810,Wire to Thompson,synthetic,0
5811,Subscription 1st of month,synthetic,0
5812,Zelle to Davis,synthetic,0
5813,Unit fee for residential unit,synthetic,1
5814,Remittance: DWELLING,synthetic,1
5815,Distinct from rent - service,synthetic,0
5816,RENT|AUTO,synthetic,1
5817,Payment to Wilson,synthetic,0
5818,CHARGE - RECURRING,synthetic,0
5819,Semi-monthly residence,synthetic,0
5820,Maintenance fee + insurance,synthetic,0
5821,Rent payment ,synthetic,1
5822,Residence disbursement,synthetic,1
5823,Transfer to Miller,synthetic,1
5824,Premises Services,synthetic,0
5825,CHARGE - AUTO,synthetic,0
5826,Facility management disbursement,synthetic,1
5827,Residential payment Every 30 days,synthetic,1
5828,HOA fee + tax,synthetic,0
5829,Dwelling disbursement plus fees,synthetic,1
5830,Complex Services,synthetic,0
5831,Payment to Wilson,synthetic,0
5832,Zelle to Davis,synthetic,0
5833,Additional to rent - fee,synthetic,0
5834,Residential payment Quarterly,synthetic,1
5835,Utility fee + insurance,synthetic,0
5836,Additional to rent - fee,synthetic,0
5837,Recurring 1st week,synthetic,1
5838,Transfer to Miller,synthetic,1
5839,Residential Services,synthetic,0
5840,Premises fee with service charge,synthetic,1
5841,Dwelling remittance,synthetic,1
5842,Maintenance fee + tax,synthetic,0
5843,ACH to Johnson LLC,synthetic,0
5844,Zelle to Davis,synthetic,0
5845,Residential payment 5th monthly,synthetic,1
5846,Rent..payment,synthetic,1
5847,Residential payment Every 30 days,synthetic,1
5848,Monthly on 15th,synthetic,1
5849,ACH to Johnson LLC (Unit 25B),synthetic,1
5850,RENT-RECURRING,synthetic,1
5851,Place I stay remittance,synthetic,1
5852,Payment on 1st of month,synthetic,1
5853,Payment to Wilson,synthetic,0
5854,Premises fee with service charge,synthetic,1
5855,Property management remittance,synthetic,1
5856,RENT - APT 5B,synthetic,1
5857,Service fee + insurance,synthetic,0
5858,Unit remittance,synthetic,0
5859,Tenancy payment,synthetic,1
5860,Monthly housing and utilities bundle,synthetic,1
5861,Bi-weekly housing,synthetic,0
5862,Utilitie payment,synthetic,0
5863,RENT - APT 5B,synthetic,1
5864,CHARGE - MONTHLY,synthetic,0
5865,500 Oak Ave payment,synthetic,1
5866,Residence fee including amenities,synthetic,1
5867,Unit fee for residential unit,synthetic,1
5868,Abode disbursement,synthetic,1
5869,Servise payment,synthetic,0
5870,Tenancy payment,synthetic,0
5871,Wire to Thompson,synthetic,0
5872,UTILITY - MONTHLY,synthetic,0
5873,Residential payment Bi-weekly,synthetic,1
5874,Rent with included services,synthetic,1
5875,Distinct from rent - service,synthetic,0
5876,Additional to rent - fee,synthetic,0
5877,Rent payment ,synthetic,1
5878,RENT-RECURRING,synthetic,1
5879,Residence fee including amenities,synthetic,1
5880,Zelle to Davis,synthetic,1
5881,HOA fee + tax,synthetic,0
5882,For 303 Parkview,synthetic,1
5883,Letting fee,synthetic,0
5884,Remittance to Moore,synthetic,0
5885,RENT_INVOICE_001,synthetic,1
5886,Rant remittance,synthetic,1
5887,RENT PAYMENT (MONTHLY),synthetic,1
5888,Building disbursement for residential unit,synthetic,1
5889,FEE - RECURRING,synthetic,0
5890,Wire to Thompson (Unit 21B),synthetic,1
5891,Other than rent - tax,synthetic,0
5892,Additional to rent - fee,synthetic,0
